state,statename,month,tot19,fat19,rate19,tot20,fat20,rate20,change
ID,Idaho,May,2169,17,0.7837713231904103,229,15,6.550218340611353,735.7307988697662
NY,New York,May,36980,82,0.22174148188209844,7750,52,0.6709677419354839,202.59008654602678
UT,Utah,May,5864,22,0.37517053206002726,3479,28,0.8048289738430584,114.52350466434976
DC,District of Columbia,May,2526,3,0.1187648456057007,1204,3,0.24916943521594684,109.80066445182727
WA,Washington,May,13215,51,0.3859250851305335,7493,53,0.7073268383824903,83.28086606322765
OH,Ohio,May,25305,83,0.32799841928472634,16893,95,0.5623631089800509,71.45299364747216
KS,Kansas,May,5559,32,0.5756431012772081,1773,15,0.8460236886632826,46.970177664974635
WI,Wisconsin,May,10937,42,0.3840175550882326,7755,42,0.5415860735009671,41.03159252095422
FL,Florida,May,34649,256,0.7388380617045225,23416,240,1.0249402118209772,38.72325546634781
AL,Alabama,May,13709,79,0.5762637683273761,9914,69,0.6959854750857374,20.775504784181955
