countyname,crash19,fatal19,rate19,crash20,fatal20,rate20,pchange
Autauga,113,3,2.6548672566371683,96,3,3.125,17.70833333333333
Baldwin,537,3,0.5586592178770949,459,3,0.6535947712418301,16.99346405228759
Barbour,52,1,1.9230769230769231,51,1,1.9607843137254901,1.9607843137254832
Bibb,29,0,0,30,0,0,NaN
Blount,94,2,2.127659574468085,62,0,0,-100
Bullock,16,1,6.25,15,0,0,-100
Butler,59,1,1.694915254237288,54,1,1.8518518518518519,9.259259259259265
Calhoun,309,2,0.6472491909385113,209,3,1.4354066985645932,121.77033492822966
Chambers,80,1,1.25,71,1,1.408450704225352,12.676056338028161
Cherokee,49,1,2.0408163265306123,44,0,0,-100
Chilton,90,0,0,93,3,3.225806451612903,Inf
Choctaw,22,0,0,12,0,0,NaN
Clarke,35,2,5.714285714285714,36,0,0,-100
Clay,21,1,4.761904761904762,16,1,6.25,31.250000000000004
Cleburne,44,0,0,31,0,0,NaN
Coffee,129,1,0.7751937984496124,74,0,0,-100
Colbert,128,0,0,106,0,0,NaN
Conecuh,34,0,0,26,0,0,NaN
Coosa,24,1,4.166666666666667,12,0,0,-100
Covington,68,0,0,54,0,0,NaN
Crenshaw,22,0,0,17,0,0,NaN
Cullman,198,1,0.5050505050505051,181,0,0,-100
Dale,75,2,2.6666666666666665,64,0,0,-99.99999999999999
Dallas,69,1,1.4492753623188406,67,2,2.985074626865672,105.97014925373135
Dekalb,92,3,3.260869565217391,73,4,5.47945205479452,68.03652968036529
Elmore,158,1,0.6329113924050633,145,0,0,-100
Escambia,69,1,1.4492753623188406,43,0,0,-100
Etowah,249,2,0.8032128514056225,214,2,0.9345794392523364,16.355140186915886
Fayette,19,1,5.2631578947368425,12,0,0,-100
Franklin,48,0,0,29,0,0,NaN
Geneva,37,0,0,44,0,0,NaN
Greene,31,1,3.225806451612903,22,2,9.090909090909092,181.81818181818187
Hale,31,0,0,28,2,7.142857142857143,Inf
Henry,20,1,5,26,NA,NA,NA
Houston,334,2,0.5988023952095808,279,0,0,-100
Jackson,89,0,0,68,1,1.4705882352941178,Inf
Jefferson,3167,7,0.22102936532996525,1845,4,0.21680216802168023,-1.9125048393340962
Lamar,17,0,0,16,NA,NA,NA
Lauderdale,159,1,0.6289308176100629,138,1,0.7246376811594203,15.21739130434783
Lawrence,47,1,2.127659574468085,51,1,1.9607843137254901,-7.843137254901962
Lee,346,1,0.28901734104046245,226,1,0.4424778761061947,53.09734513274336
Limestone,196,1,0.5102040816326531,143,4,2.797202797202797,448.2517482517482
Lowndes,38,1,2.6315789473684212,26,0,0,-100
Macon,69,1,1.4492753623188406,63,2,3.1746031746031744,119.04761904761904
Madison,1034,3,0.2901353965183752,599,6,1.001669449081803,245.24207011686147
Marengo,20,0,0,28,0,0,NaN
Marion,45,0,0,25,0,0,NaN
Marshall,245,0,0,187,1,0.5347593582887701,Inf
Mobile,1332,9,0.6756756756756757,949,5,0.5268703898840885,-22.023182297154897
Monroe,31,0,0,23,1,4.3478260869565215,Inf
Montgomery,901,1,0.11098779134295228,728,1,0.13736263736263737,23.76373626373627
Morgan,284,2,0.704225352112676,277,1,0.36101083032490977,-48.73646209386281
Perry,15,0,0,11,NA,NA,NA
Pickens,21,1,4.761904761904762,22,1,4.545454545454546,-4.545454545454536
Pike,85,2,2.3529411764705883,64,1,1.5625,-33.59375
Randolph,27,0,0,37,0,0,NaN
Russell,230,0,0,184,0,0,NaN
Shelby,605,2,0.3305785123966942,381,1,0.26246719160104987,-20.603674540682416
St clair,184,1,0.5434782608695652,119,3,2.5210084033613445,363.86554621848745
Sumter,24,0,0,16,NA,NA,NA
Talladega,186,2,1.075268817204301,145,2,1.3793103448275863,28.275862068965534
Tallapoosa,65,1,1.5384615384615385,54,1,1.8518518518518519,20.370370370370363
Tuscaloosa,662,2,0.3021148036253776,522,1,0.19157088122605365,-36.59003831417624
Walker,147,1,0.6802721088435374,111,1,0.9009009009009009,32.432432432432435
Washington,18,0,0,21,1,4.761904761904762,Inf
Wilcox,14,2,14.285714285714286,9,NA,NA,NA
Winston,21,1,4.761904761904762,31,0,0,-100
